Day of Week,Date,Hour ending,Hourly volume Southbound,HCV % Southbound,Hourly volume Northbound,HCV % Northbound,Total volume,Total % HCV
Sat, Jan 1 2011,0100,63,1.6,108,0.9,171,1.2
Sat, Jan 1 2011,0200,87,6.9,198,2,285,3.5
Sat, Jan 1 2011,0300,74,4.1,120,0.8,194,2.1
Sat, Jan 1 2011,0400,61,4.9,104,0,165,1.8
Sat, Jan 1 2011,0500,38,0,71,1.4,109,0.9
Sat, Jan 1 2011,0600,49,6.1,92,2.2,141,3.5
Sat, Jan 1 2011,0700,83,0,62,3.2,145,1.4
Sat, Jan 1 2011,0800,170,1.2,95,2.1,265,1.5
Sat, Jan 1 2011,0900,105,1,136,1.5,241,1.2
Sat, Jan 1 2011,1000,172,4.1,142,6.3,314,5.1
Sat, Jan 1 2011,1100,251,1.6,232,2.6,483,2.1
Sat, Jan 1 2011,1200,385,1.6,473,1.3,858,1.4
Sat, Jan 1 2011,1300,612,1.6,608,2.1,1220,1.9
Sat, Jan 1 2011,1400,761,1.2,665,0.3,1426,0.8
Sat, Jan 1 2011,1500,789,1.3,740,0.5,1529,0.9
Sat, Jan 1 2011,1600,774,1.9,697,1.4,1471,1.7
Sat, Jan 1 2011,1700,791,2.4,668,1,1459,1.8
Sat, Jan 1 2011,1800,580,2.4,692,0.6,1272,1.4
Sat, Jan 1 2011,1900,505,1.4,579,1,1084,1.2
Sat, Jan 1 2011,2000,420,1.7,454,0.7,874,1.1
Sat, Jan 1 2011,2100,372,1.6,462,1.5,834,1.6
Sat, Jan 1 2011,2200,247,1.6,287,0.7,534,1.1
Sat, Jan 1 2011,2300,155,1.9,245,1.2,400,1.5
Sat, Jan 1 2011,2400,96,2.1,148,1.4,244,1.6
Sun, Jan 2 2011,0100,76,9.2,118,1.7,194,4.6
Sun, Jan 2 2011,0200,59,8.5,73,1.4,132,4.5
Sun, Jan 2 2011,0300,33,12.1,67,0,100,4
Sun, Jan 2 2011,0400,32,0,41,7.3,73,4.1
Sun, Jan 2 2011,0500,42,4.8,45,4.4,87,4.6
Sun, Jan 2 2011,0600,84,7.1,40,12.5,124,8.9
Sun, Jan 2 2011,0700,159,3.1,65,6.2,224,4
Sun, Jan 2 2011,0800,188,1.1,114,3.5,302,2
Sun, Jan 2 2011,0900,177,4.5,162,6.2,339,5.3
Sun, Jan 2 2011,1000,265,3.8,190,1.6,455,2.9
Sun, Jan 2 2011,1100,525,2.7,275,2.5,800,2.6
Sun, Jan 2 2011,1200,831,1.6,434,1.2,1265,1.4
Sun, Jan 2 2011,1300,1065,1,647,1.7,1712,1.3
Sun, Jan 2 2011,1400,1170,0.5,837,0.8,2007,0.6
Sun, Jan 2 2011,1500,1207,1,912,0.8,2119,0.9
Sun, Jan 2 2011,1600,942,1.2,985,1,1927,1.1
Sun, Jan 2 2011,1700,850,2.1,1092,0.6,1942,1.3
Sun, Jan 2 2011,1800,782,2.3,1088,1.2,1870,1.7
Sun, Jan 2 2011,1900,671,1.2,937,1.2,1608,1.2
Sun, Jan 2 2011,2000,565,1.1,666,0.6,1231,0.8
Sun, Jan 2 2011,2100,434,0.9,512,1.2,946,1.1
Sun, Jan 2 2011,2200,298,1.3,400,0.8,698,1
Sun, Jan 2 2011,2300,190,2.1,247,1.6,437,1.8
Sun, Jan 2 2011,2400,126,3.2,179,2.8,305,3
Mon, Jan 3 2011,0100,84,3.6,143,4.2,227,4
Mon, Jan 3 2011,0200,54,11.1,79,3.8,133,6.8
Mon, Jan 3 2011,0300,29,13.8,46,8.7,75,10.7
Mon, Jan 3 2011,0400,41,14.6,47,8.5,88,11.4
Mon, Jan 3 2011,0500,71,2.8,50,12,121,6.6
Mon, Jan 3 2011,0600,136,8.1,59,15.3,195,10.3
Mon, Jan 3 2011,0700,218,6.9,94,9.6,312,7.7
Mon, Jan 3 2011,0800,319,2.8,135,6.7,454,4
Mon, Jan 3 2011,0900,323,5,228,4.8,551,4.9
Mon, Jan 3 2011,1000,363,4.1,247,6.5,610,5.1
Mon, Jan 3 2011,1100,571,2.6,286,5.2,857,3.5
Mon, Jan 3 2011,1200,810,2.7,397,1.8,1207,2.4
Mon, Jan 3 2011,1300,1057,2.2,555,3.6,1612,2.7
Mon, Jan 3 2011,1400,1094,1.3,719,2.2,1813,1.7
Mon, Jan 3 2011,1500,1114,1.9,813,1.1,1927,1.6
Mon, Jan 3 2011,1600,936,2.7,940,1.4,1876,2
Mon, Jan 3 2011,1700,835,1.9,1043,1.4,1878,1.7
Mon, Jan 3 2011,1800,765,2.9,1132,1.1,1897,1.8
Mon, Jan 3 2011,1900,686,3.8,973,0.9,1659,2.1
Mon, Jan 3 2011,2000,586,2.4,630,0.6,1216,1.5
Mon, Jan 3 2011,2100,386,1.3,506,1.2,892,1.2
Mon, Jan 3 2011,2200,298,3,320,0.9,618,1.9
Mon, Jan 3 2011,2300,200,3,227,0.9,427,1.9
Mon, Jan 3 2011,2400,82,2.4,192,2.6,274,2.6
Tue, Jan 4 2011,0100,57,10.5,86,3.5,143,6.3
Tue, Jan 4 2011,0200,26,26.9,57,3.5,83,10.8
Tue, Jan 4 2011,0300,23,43.5,33,12.1,56,25
Tue, Jan 4 2011,0400,33,12.1,30,16.7,63,14.3
Tue, Jan 4 2011,0500,95,6.3,38,23.7,133,11.3
Tue, Jan 4 2011,0600,251,14.7,94,14.9,345,14.8
Tue, Jan 4 2011,0700,813,6.6,162,16.7,975,8.3
Tue, Jan 4 2011,0800,1725,4,405,11.4,2130,5.4
Tue, Jan 4 2011,0900,1675,4.4,608,9.5,2283,5.7
Tue, Jan 4 2011,1000,1079,7.1,440,8.2,1519,7.4
Tue, Jan 4 2011,1100,877,7.3,495,12.1,1372,9
Tue, Jan 4 2011,1200,879,9.9,515,9.7,1394,9.8
Tue, Jan 4 2011,1300,997,7.7,723,8.3,1720,8
Tue, Jan 4 2011,1400,932,6.8,765,7.1,1697,6.9
Tue, Jan 4 2011,1500,875,8.5,829,6.5,1704,7.5
Tue, Jan 4 2011,1600,746,8.6,1110,5,1856,6.5
Tue, Jan 4 2011,1700,771,6.9,1705,3.3,2476,4.4
Tue, Jan 4 2011,1800,769,6.5,2038,2.4,2807,3.5
Tue, Jan 4 2011,1900,609,6.2,1552,2.1,2161,3.2
Tue, Jan 4 2011,2000,460,5,799,3.1,1259,3.8
Tue, Jan 4 2011,2100,302,7.6,563,3.4,865,4.9
Tue, Jan 4 2011,2200,217,5.5,451,2.4,668,3.4
Tue, Jan 4 2011,2300,134,9.7,275,3.6,409,5.6
Tue, Jan 4 2011,2400,88,11.4,190,3.7,278,6.1
Wed, Jan 5 2011,0100,34,17.6,91,6.6,125,9.6
Wed, Jan 5 2011,0200,25,36,63,4.8,88,13.6
Wed, Jan 5 2011,0300,26,34.6,32,15.6,58,24.1
Wed, Jan 5 2011,0400,32,21.9,42,19,74,20.3
Wed, Jan 5 2011,0500,100,17,48,14.6,148,16.2
Wed, Jan 5 2011,0600,217,13.8,78,24.4,295,16.6
Wed, Jan 5 2011,0700,713,9,182,18.7,895,10.9
Wed, Jan 5 2011,0800,1627,5.3,413,13.8,2040,7
Wed, Jan 5 2011,0900,1902,5,705,10.4,2607,6.5
Wed, Jan 5 2011,1000,1294,6.9,571,12.8,1865,8.7
Wed, Jan 5 2011,1100,1050,8.8,525,12.4,1575,10
Wed, Jan 5 2011,1200,1013,10,603,11.8,1616,10.6
Wed, Jan 5 2011,1300,1009,8.4,708,10.7,1717,9.4
Wed, Jan 5 2011,1400,896,8.4,838,8.8,1734,8.6
Wed, Jan 5 2011,1500,865,9.5,933,5.6,1798,7.5
Wed, Jan 5 2011,1600,790,9.2,1169,6.6,1959,7.7
Wed, Jan 5 2011,1700,770,10.3,1594,3.7,2364,5.8
Wed, Jan 5 2011,1800,795,6.4,1984,3.4,2779,4.3
Wed, Jan 5 2011,1900,662,5.6,1659,2.1,2321,3.1
Wed, Jan 5 2011,2000,522,5,937,2.8,1459,3.6
Wed, Jan 5 2011,2100,309,5.8,668,1.9,977,3.2
Wed, Jan 5 2011,2200,226,6.6,464,2.2,690,3.6
Wed, Jan 5 2011,2300,148,9.5,374,1.3,522,3.6
Wed, Jan 5 2011,2400,87,11.5,213,2.8,300,5.3
Thu, Jan 6 2011,0100,53,22.6,121,5,174,10.3
Thu, Jan 6 2011,0200,34,29.4,68,10.3,102,16.7
Thu, Jan 6 2011,0300,32,40.6,37,18.9,69,29
Thu, Jan 6 2011,0400,45,15.6,47,27.7,92,21.7
Thu, Jan 6 2011,0500,87,19.5,51,13.7,138,17.4
Thu, Jan 6 2011,0600,251,16.3,92,19.6,343,17.2
Thu, Jan 6 2011,0700,723,6.9,170,20.6,893,9.5
Thu, Jan 6 2011,0800,1751,4.6,415,13.7,2166,6.4
Thu, Jan 6 2011,0900,1854,4.7,698,10.2,2552,6.2
Thu, Jan 6 2011,1000,1247,5.9,573,12,1820,7.9
Thu, Jan 6 2011,1100,938,7.1,523,9.8,1461,8.1
Thu, Jan 6 2011,1200,987,9.5,607,11.7,1594,10.4
Thu, Jan 6 2011,1300,990,8.3,760,10.5,1750,9.3
Thu, Jan 6 2011,1400,1033,8.8,883,7.2,1916,8.1
Thu, Jan 6 2011,1500,861,9.2,991,6.6,1852,7.8
Thu, Jan 6 2011,1600,803,9.1,1157,4.8,1960,6.6
Thu, Jan 6 2011,1700,860,7.6,1577,3.5,2437,4.9
Thu, Jan 6 2011,1800,879,6.7,2053,3,2932,4.1
Thu, Jan 6 2011,1900,779,5.5,1642,2,2421,3.1
Thu, Jan 6 2011,2000,588,5.8,1001,2.8,1589,3.9
Thu, Jan 6 2011,2100,332,6.3,745,2.3,1077,3.5
Thu, Jan 6 2011,2200,253,4.7,623,1.9,876,2.7
Thu, Jan 6 2011,2300,174,6.3,375,2.1,549,3.5
Thu, Jan 6 2011,2400,83,13.3,204,4.4,287,7
Fri, Jan 7 2011,0100,55,12.7,119,4.2,174,6.9
Fri, Jan 7 2011,0200,30,16.7,81,9.9,111,11.7
Fri, Jan 7 2011,0300,26,34.6,50,14,76,21.1
Fri, Jan 7 2011,0400,26,34.6,41,12.2,67,20.9
Fri, Jan 7 2011,0500,88,22.7,54,22.2,142,22.5
Fri, Jan 7 2011,0600,228,12.3,103,33,331,18.7
Fri, Jan 7 2011,0700,699,9.4,182,20.3,881,11.7
Fri, Jan 7 2011,0800,1615,5,402,14.2,2017,6.8
Fri, Jan 7 2011,0900,1789,5.3,681,10.4,2470,6.7
Fri, Jan 7 2011,1000,1257,6.4,495,14.7,1752,8.8
Fri, Jan 7 2011,1100,942,9.3,477,14.5,1419,11.1
Fri, Jan 7 2011,1200,915,9.5,595,11.8,1510,10.4
Fri, Jan 7 2011,1300,946,11.5,773,10.3,1719,11
Fri, Jan 7 2011,1400,983,7.7,991,8.1,1974,7.9
Fri, Jan 7 2011,1500,875,8,1071,6.4,1946,7.1
Fri, Jan 7 2011,1600,846,9.7,1366,5.3,2212,7
Fri, Jan 7 2011,1700,853,6.8,1690,3.8,2543,4.8
Fri, Jan 7 2011,1800,842,6.4,1836,3.3,2678,4.3
Fri, Jan 7 2011,1900,706,4.4,1567,1.7,2273,2.6
Fri, Jan 7 2011,2000,590,4.9,1006,1.8,1596,2.9
Fri, Jan 7 2011,2100,346,6.4,736,1.5,1082,3
Fri, Jan 7 2011,2200,218,3.7,547,1.5,765,2.1
Fri, Jan 7 2011,2300,192,6.8,362,1.4,554,3.2
Fri, Jan 7 2011,2400,96,5.2,241,1.7,337,2.7
Sat, Jan 8 2011,0100,70,8.6,147,4.1,217,5.5
Sat, Jan 8 2011,0200,46,15.2,123,4.9,169,7.7
Sat, Jan 8 2011,0300,34,20.6,91,8.8,125,12
Sat, Jan 8 2011,0400,44,4.5,69,10.1,113,8
Sat, Jan 8 2011,0500,68,20.6,58,12.1,126,16.7
Sat, Jan 8 2011,0600,126,7.9,74,16.2,200,11
Sat, Jan 8 2011,0700,222,6.8,123,14.6,345,9.6
Sat, Jan 8 2011,0800,373,7.2,177,16.4,550,10.2
Sat, Jan 8 2011,0900,546,6.4,272,9.2,818,7.3
Sat, Jan 8 2011,1000,618,6,323,6.8,941,6.3
Sat, Jan 8 2011,1100,742,4.3,414,7.5,1156,5.4
Sat, Jan 8 2011,1200,828,5,599,5.2,1427,5
Sat, Jan 8 2011,1300,889,3.9,794,3.4,1683,3.7
Sat, Jan 8 2011,1400,1043,3.8,839,2.9,1882,3.4
Sat, Jan 8 2011,1500,954,3.6,953,2.1,1907,2.8
Sat, Jan 8 2011,1600,732,2.5,976,2.8,1708,2.6
Sat, Jan 8 2011,1700,720,3.1,1076,1.4,1796,2.1
Sat, Jan 8 2011,1800,666,3.3,1067,0.8,1733,1.8
Sat, Jan 8 2011,1900,584,2.7,930,1.5,1514,2
Sat, Jan 8 2011,2000,582,3.8,642,1.2,1224,2.5
Sat, Jan 8 2011,2100,372,3.2,444,1.4,816,2.2
Sat, Jan 8 2011,2200,228,2.2,333,0.9,561,1.4
Sat, Jan 8 2011,2300,174,2.3,258,3.9,432,3.2
Sat, Jan 8 2011,2400,92,4.3,268,1.5,360,2.2
Sun, Jan 9 2011,0100,76,5.3,128,0.8,204,2.5
Sun, Jan 9 2011,0200,71,4.2,107,2.8,178,3.4
Sun, Jan 9 2011,0300,60,20,97,4.1,157,10.2
Sun, Jan 9 2011,0400,45,6.7,61,3.3,106,4.7
Sun, Jan 9 2011,0500,49,2,75,5.3,124,4
Sun, Jan 9 2011,0600,82,3.7,77,2.6,159,3.1
Sun, Jan 9 2011,0700,135,6.7,67,6,202,6.4
Sun, Jan 9 2011,0800,202,1.5,114,3.5,316,2.2
Sun, Jan 9 2011,0900,177,1.7,160,4.4,337,3
Sun, Jan 9 2011,1000,282,3.2,213,1.9,495,2.6
Sun, Jan 9 2011,1100,504,1.6,314,1.6,818,1.6
Sun, Jan 9 2011,1200,778,1,480,2.3,1258,1.5
Sun, Jan 9 2011,1300,1053,1.2,676,0.7,1729,1
Sun, Jan 9 2011,1400,1157,1.2,858,1.2,2015,1.2
Sun, Jan 9 2011,1500,1051,1.4,849,1.5,1900,1.5
Sun, Jan 9 2011,1600,901,2,858,0.6,1759,1.3
Sun, Jan 9 2011,1700,940,1.6,1009,1,1949,1.3
Sun, Jan 9 2011,1800,855,3.6,1072,0.7,1927,2
Sun, Jan 9 2011,1900,779,4.9,908,0.9,1687,2.7
Sun, Jan 9 2011,2000,708,3.7,608,1.2,1316,2.5
Sun, Jan 9 2011,2100,438,3.2,524,1.7,962,2.4
Sun, Jan 9 2011,2200,339,4.1,334,2.4,673,3.3
Sun, Jan 9 2011,2300,170,2.4,219,1.4,389,1.8
Sun, Jan 9 2011,2400,97,4.1,231,1.7,328,2.4
