Day of Week,Date,Hour ending,Hourly volume Westbound,HCV % Westbound,Hourly volume Eastbound,HCV % Eastbound,Total volume,Total % HCV
Sat, Jan 1 2011,0100,84,7.1,80,6.2,164,6.7
Sat, Jan 1 2011,0200,166,3.6,99,1,265,2.6
Sat, Jan 1 2011,0300,125,1.6,81,4.9,206,2.9
Sat, Jan 1 2011,0400,80,2.5,66,4.5,146,3.4
Sat, Jan 1 2011,0500,72,0,51,5.9,123,2.4
Sat, Jan 1 2011,0600,67,1.5,66,7.6,133,4.5
Sat, Jan 1 2011,0700,102,1,181,1.1,283,1.1
Sat, Jan 1 2011,0800,135,7.4,195,2.1,330,4.2
Sat, Jan 1 2011,0900,177,4.5,159,1.9,336,3.3
Sat, Jan 1 2011,1000,242,2.5,199,2,441,2.3
Sat, Jan 1 2011,1100,396,1.8,332,3.6,728,2.6
Sat, Jan 1 2011,1200,667,0.9,508,2,1175,1.4
Sat, Jan 1 2011,1300,868,0.7,829,1.6,1697,1.1
Sat, Jan 1 2011,1400,1029,0.7,1088,0.8,2117,0.8
Sat, Jan 1 2011,1500,1079,0.6,1186,0.9,2265,0.8
Sat, Jan 1 2011,1600,1047,1.3,1258,0.8,2305,1
Sat, Jan 1 2011,1700,920,0.8,1146,0.3,2066,0.5
Sat, Jan 1 2011,1800,818,0.6,992,0.9,1810,0.8
Sat, Jan 1 2011,1900,685,1.6,914,0.8,1599,1.1
Sat, Jan 1 2011,2000,590,1,724,1.9,1314,1.5
Sat, Jan 1 2011,2100,476,1.7,520,2.1,996,1.9
Sat, Jan 1 2011,2200,291,3.1,416,1.7,707,2.3
Sat, Jan 1 2011,2300,212,0.9,217,3.2,429,2.1
Sat, Jan 1 2011,2400,155,5.2,147,3.4,302,4.3
Sun, Jan 2 2011,0100,129,5.4,90,13.3,219,8.7
Sun, Jan 2 2011,0200,78,12.8,71,4.2,149,8.7
Sun, Jan 2 2011,0300,56,21.4,42,9.5,98,16.3
Sun, Jan 2 2011,0400,45,6.7,53,7.5,98,7.1
Sun, Jan 2 2011,0500,44,22.7,80,5,124,11.3
Sun, Jan 2 2011,0600,54,13,144,5.6,198,7.6
Sun, Jan 2 2011,0700,118,10.2,297,2.4,415,4.6
Sun, Jan 2 2011,0800,172,7.6,245,2.9,417,4.8
Sun, Jan 2 2011,0900,304,3.3,183,6.6,487,4.5
Sun, Jan 2 2011,1000,372,2.7,348,2,720,2.4
Sun, Jan 2 2011,1100,526,2.1,535,3.2,1061,2.6
Sun, Jan 2 2011,1200,749,1.2,1004,1.4,1753,1.3
Sun, Jan 2 2011,1300,930,1.2,1387,1.9,2317,1.6
